Tanggal,Tn,Tx,Tavg,kelembaban,curah_hujan,matahari,kecepatan_angin,kecepatan_angin,,
29-09-2015,21,33.8,28.6,69,0,9.5,2,145,,
30-09-2015,23,33.4,28.4,76,0,8.8,2,60,,
01-10-2015,22,32.3,27.5,75,0,9,3,64,,
02-10-2015,21,31.7,26,91,29,2,2,350,,
03-10-2015,21,31.3,26.8,83,4.2,5,3,67,,
04-10-2015,23,32.2,27.8,78,0,6.9,4,46,,
05-10-2015,21,32.6,26.6,79,0,7.8,3,50,,
06-10-2015,22,32.4,27.9,66,0,9.5,3,40,,
07-10-2015,22,32.4,27.9,67,0,9.5,2,40,,
08-10-2015,22,33.4,29.9,64,0,9.4,4,57,,
09-10-2015,22,32.4,28.1,76,0,6.4,2,32,,
10-10-2015,23,33.2,28.8,72,0,6.6,2,95,,
11-10-2015,22,32.2,27.5,75,0,5.3,2,115,,
12-10-2015,22,32.2,27.6,74,0,7.8,2,50,,
13-10-2015,22,32.8,28.3,67,0,9.5,3,40,,
14-10-2015,21,34.4,27.6,65,0,9.5,3,20,,
15-10-2015,20,33.4,27,73,0,9.5,3,50,,
16-10-2015,21,33.2,27.8,69,0,9.3,1,140,,
17-10-2015,20,33.6,27.3,65,0,8,2,61,,
18-10-2015,21,33.2,28,69,0,8.5,2,49,,
19-10-2015,23,33.2,28.5,66,0,9,2,96,,
20-10-2015,22,33.2,28.4,65,0,9.2,2,60,,
21-10-2015,22,32.4,28.4,67,0,9.8,2,150,,
22-10-2015,22,33,28.5,70,0,9,3,45,,
23-10-2015,22,33,26.2,85,0,7.2,5,32,,
24-10-2015,22,33,26,89,5.8,8,3,49,,
25-10-2015,21,32.2,27.4,88,0,2.2,3,49,,
26-10-2015,21,32,27.5,79,0,5.3,3,24,,
27-10-2015,21,32.8,27.1,82,0,10,2,135,,
28-10-2015,22,32.2,26.9,87,9.7,5.7,3,55,,
29-10-2015,21,31.2,27.5,75,0,7.8,2,120,,
30-10-2015,22,32.2,27.4,79,0,7.5,1,130,,
31-10-2015,21,32.4,27.5,75,0,5,2,64,,
01-11-2015,22,33.2,28.4,77,0,5.5,2,118,,
02-11-2015,20,32.2,27.3,82,0,5.5,2,85,,
03-11-2015,21,35,26.8,90,0,4.5,2,51,,
04-11-2015,22,29.8,25.9,91,0,4.5,2,299,,
05-11-2015,22,31.8,28.3,80,3.5,1.5,2,53,,
06-11-2015,23,30,26.1,93,0,7,2,50,,
07-11-2015,20,32,25.9,90,4.1,1.3,1,54,,
08-11-2015,21,30,26.4,87,0,8,1,300,,
09-11-2015,22,32.5,27.2,81,0,1.8,3,70,,
10-11-2015,22,31.4,27.1,88,0,7.8,2,60,,
11-11-2015,22,32.2,25.4,96,0,6.4,2,50,,
12-11-2015,21,32.4,27.5,82,0,1,4,65,,
13-11-2015,21,32.1,27.6,82,0,1,4,58,,
14-11-2015,23,33,26.9,87,0,8,2,30,,
15-11-2015,22,33,26,89,0,3.6,2,52,,
16-11-2015,22,35,27.5,84,0,1,3,60,,
17-11-2015,22,33,27.5,81,0,4.2,2,55,,
18-11-2015,22,23.3,28.3,83,0,5.9,2,50,,
19-11-2015,22,33.2,28.7,80,0,8,3,39,,
20-11-2015,22,33.2,28.2,85,0,2,3,10,,
21-11-2015,20,33.2,27.1,87,0,1,2,10,,
22-11-2015,20,27.8,25.4,95,0.3,5.4,2,28,,
23-11-2015,22,33.2,27.9,84,0.9,1,2,150,,
24-11-2015,23,32.4,28.9,75,0,8,2,90,,
25-11-2015,22,30.2,27.1,87,0,4,2,50,,
26-11-2015,22,31.4,27.2,92,16.5,0.8,2,50,,
27-11-2015,21,32,26.8,90,1.7,3.7,2,50,,
28-11-2015,21,32.8,27.8,89,0,5.9,3,45,,
29-11-2015,23,32.8,28.2,83,0,7.4,3,42,,
30-11-2015,23,30.6,27.2,85,0,6.1,3,51,,
01-12-2015,24,32.2,26.5,88,0,1.1,2,55,,
02-12-2015,23,30.2,26.5,92,34,6.3,1,315,,
03-12-2015,22,32.4,27.1,86,0,1.6,1,94,,
04-12-2015,22,31.2,27.4,80,0,1,4,23,,
05-12-2015,21,31.7,26.7,88,0,4.7,1,120,,
06-12-2015,20,32,28.5,82,0,3.5,2,95,,
07-12-2015,23,32.4,28.2,77,0,8.9,3,60,,
08-12-2015,23,32.4,28.2,80,0,8.7,1,52,,
09-12-2015,23,31,26.9,94,0,4.2,2,50,,
10-12-2015,22,32.5,27.5,88,1.2,1,5,10,,
11-12-2015,22,32.2,27.3,87,3.3,6.3,3,55,,
12-12-2015,22,32.4,27.1,83,0,5.1,1,73,,
13-12-2015,22,32.2,27.4,84,0,2,2,16,,
14-12-2015,23,31.5,27.3,89,0,4.6,2,90,,
15-12-2015,23,29.9,26.7,94,0,0.4,3,45,,
16-12-2015,23,30.4,26.7,94,5.3,1,3,43,,
17-12-2015,22,32.6,27.7,83,0,2.2,2,320,,
18-12-2015,22,32.2,27.1,87,12.4,5.5,2,150,,
19-12-2015,22,29.6,26,97,12.9,5.6,3,60,,
20-12-2015,22,29.8,25.9,94,2.1,0.5,1,11,,
21-12-2015,22,31.4,25.5,95,2.1,0.5,1,322,,
22-12-2015,20,31.2,26.8,89,28.7,0.8,3,35,,
23-12-2015,22,30.6,26.9,90,0.7,3.7,1,90,,
24-12-2015,23,32,26.9,85,0,0.3,3,25,,
25-12-2015,21,32,26.3,92,7.3,5.4,1,315,,
